Author,Comment
@SANH-LAM-THE-KY,Vẫn nhớ trận u16 vs 🇨🇳 vs 2 cái tên Ánh Cường và Văn Quyến…và 1 cầu thủ nhí ở giải cup yamaha cho thiếu nhi là Thái Học cũng là 1 thần đồng mất sớm vì tai nạn giao thông.😢
@SANH-LAM-THE-KY,Ai biết Thái Học dơ tay
@dutruong6190,Đến thời điểm bây giờ điều kiện kinh tế không thiếu gì nhưng chưa có ai có tài năng thiên bẩm như văn quyến ai cũng biết điều đó
@tonnguyen683,đúng óc chó
@HưngNguyễnDuy-f2l,Thần đồng xóc đĩa
@hungho9181,Thằng văn quyến là kẻ bán độ bán nước
@VũHồ-r6r,Cái tên mà khiến Việt Nam ngán vẫn là Thái Lan
@nguyenhanhhiep,"VAN QUYÊN đăng  cấp  Châu  âu,  ko quá  lời. ( nếu cham sốc tốt  như  Châu  âu,  hoặc  baraxin ."
@hailevan7642,"Đôi lúc tôi vẫn vào xem lại những video bàn thắng của quyến, rất là buồn khi a ấy suất sắc đá bóng như vậy mà lại lạc lối, thời đó mình cũng hâm mộ lắm"
@HieuNguyen-st357,Ai đặt cho là thần đồng nhỉ?!
@BaoNguyen-be4cf,Quyen la tiền đạo số 1
@davidchan923,"dù ko có vụ bacolod , thì quyến cũng nhạt nhòa thôi . Anh ta ăn chơi , mất kỉ luật thì rồi cũng sa sút ."
@ngocsangle1015,"Ngày xưa coi những chân chuyền như Minh Phương,.. trước 2009 kiểu chuyền như đặt còn giờ đội tuyển VN chuyền chán thật sự"
@luckyluke7992,"Xem mà nghẹn ngào! Hồi đó trong sách giáo khoa có tên của các vận động viên Thúy Hiền, Văn Quyến... Sau vụ đó tên của anh đã không còn nữa! Nghe chuyên mục kể chuyện đêm khuya cũng nói về Văn Quyến. Quá đáng tiếc cho tài năng của bóng đá Việt Nam!"
