Author,Comment
@nguyenmanhtuong5825,K nen so sanh nhu vay du co la thien tai nhung k co dao duc thi cung fai bo di cho du Quang Hai Van Hau co k bang Van Quyen nhung ho da cong hien tat ca cho bong da viet nam bang  su no luc het minh cua cac ban ay bang cai tam cua minh ban so sanh k bang Van Quyen la sai cai k bang Van Quyen cua cac cau thu ay do la su phan boi dat nuoc phan boi nguoi ham mo ban hieu k ..
@chicuongle8111,Nếu không dính vào vụ bán độ đó thì VQ đã là huyền thoại bóng đá Việt Nam rồi
@phongnguyenxuan1169,Có  tài  mà  không  có  đức  là  người  vô  dụng
@nhatluong107,Đúng là blv cứ ai có chút tài năng mà qua mồm các bố thành thiên tài
@trinhang6177,giờ a cũng lấy vk giàu có ở đất vinh
@duydo8282,đừng nhắc đến cái thằng này nữa
@duonghuynhngoctrong3087,Công vinh ad ơiii
@mp3nguyen536,Tui xem bóng đá  Việt Nam đơn giản chỉ vì Quốc Kỳ 🇻🇳 . Chứ ko vì thằng bán độ hay thần đồng nào cả .  Đá ở thời này cũng đéo có cơ hội múa đâu.  Nhìn CP Quang Hải kỹ thuật cá nhân đâu kém  đi vừa đi bóng là bị bao vây phạm lỗi ngay. Tự tin múa thì chỉ có nằm viện .
@bethichbanbi8528,"Theo tôi Quyến mới là thiên tài nhất của VN.,. Tới giờ chưa ai sánh bằng... k phải tự nhiên mà đối thủ sợ tới mức phải hối lộ a ấy"
@nguyenvansonn5258,Người truyền cảm hứng cho bao nhiêu thế hệ 9X 😍 mãi yêu a
@baokhanh5699,Nếu cùng lứa quang hải công phượng xuân trường phan văn Đức thì bh a là số 1 Việt nam
@thihungthach3443,"Phải thông cảm cho quyến vì hồi ấy bóng đá Việt Nam còn nghèo chưa dinh <a href=""http://cao.moi/"">cao.moi</a> người dung bo roi quyến nha.bong đá Việt Nam giờ mới là đỉnh cao mọi người hãy ien tâm nha"
@viejournal4107,Quyến chơi bóng bằng bản năng của một thần đồng. Quá tiếc.
@vuonlanhoanglam178,"nếu anh lúc đó không mắc sai phạm thì với tài năng và nỗ lực có thể bây giờ anh đã là ronando của việt nam, từ một cậu bé chăn trâu quê nghèo sứ nghệ mà nỗ lực vươn lên là quá giỏi, tiếc không có ai định hướng giáo dục cho anh khi anh mồ côi cha từ nhỏ, chỉ tại thằng vượng và thằng như thuần"
@phuochaidoanphuong3985,nếu như anh không mắc sai lầm thì với nỗ lực và tài năng có thể bây giờ anh đã thành ronando của việt nam
@legendary3029,"Giá như quyến được các clb châu Âu để ý thì giờ đây chúng ta đã tự hào có thể sánh với các ngôi sao hàng đầu từng thì đấu cho Châu Âu như Kagawa,Nakata và Park Ji Sung"
@hieuvu4501,tôi chỉ thấy tiếc vì mất đi cảm xúc khi không còn đk xem VQ đá bóng. Xem Quyến đá thời đỉnh cao cảm giác như xem cầu thủ brazil đá vậy. Rất ngẫu hứng nhưng tinh tế hiệu quả
@ducnguyen8531,bán độ nói làm gì cho mệt
@vanthongo135,Thằng bán độ cũng nói
@vannghia2143,Đính chính là huyện hưng nguyên Nghệ an  nha :))) .. Idol cách nhà tôi có mấy cây cột điện ^^
@DuongPham-ih5kh,"<a href=""https://www.youtube.com/watch?v=5LxjFoypQo4&amp;t=537"">8:57</a> trời ơi là trời ...cách nhận bóng và ghi bàn đó chỉ nhìn thấy ở những cầu thủ đẳng cấp tg, quá tiếc cho 1 tài năng,Quyến ơi là Quyến"
@mithuatphamhungskda2455,Phát khóc lên được
@nhuongthang7364,Nguyen nhan la do ko co nen tang nhan thuc cho nen dan den sai lam nhu vay thoi .
@liemle6218,A làm về tiền đạo samson đi a
@TuanCon-td5kj,Tài năng chỉ có một như tại k đúng thời. Nếu gọi lại thì sao nhỉ nếu còn a lúc này thì.....
@RiO-hr6zd,"<a href=""https://www.youtube.com/watch?v=5LxjFoypQo4&amp;t=526"">8:46</a> cho đến hiện tại thì những pha như này vẫn là đẳng cấp."
@vanvinhpham2947,Van quyen dung la o 1 cai tam khac rui.wa dang cap
@luongvantuan8436,Mê anh ấy!! Nói tới tài năng a ấy là số 1 vn
@huydinh5739,Hưng nguyên nhé Anh Quân
@duonghoa1752,Thời đó công vinh chỉ là cái bóng của văn quyến .nói về các cầu thủ VN từ trước tới giờ về tiền đạo thì ko ai vượt qua dk văn quyến kể cả c phương hay van toàn còn tiền vệ thì ko ai sánh được với hông sơn bây giờ có Quang Hải nhưng cũng chưa thể bằng hồng sơn thời đó chắc còn lâu nữa bóng đá VN mới sản sinh ra 1tien vệ  và 1 tiền đạo xuất sắc như vậy
@daohiendaohien6310,Con bò...
@leviettien1leviettien169,Giỏi như M10 và Cr7 không kiêu ngạo đằng này có tý tài đã kiêu ngạo bán độ
@DuongNguyen-bd7jq,Đúng là thiên tài khi tuổi còn đôi mươi
@thuynguyen-xy5uj,Quyến bẩm sinh Vinh khổ luyện
@kiembuiviog4178,Dù văn Quyến vấp sai lầm nhưng tôi vẫn yêu cách chơi bóng của anh ấy
@annaana2328,K có phượng ak
@HongNguyen-iz7qb,Lò Đào tạo SLNA còn và sẽ còn rất nhiều nhân tài.
@tuanthanhpham4265,mấy ông blv cứ thích dùng từ ngữ mỹ miều :)
@thaiphuc5115,Lịch sử bóng đá việt nam chưa bao giờ có cầu thủ nào xuất sắc hơn văn quyến
@hungtrantrong6402,Ở đây tôi không nói ai giỏi hơn a kém hơn và không phân biệt vùng miền và từ hình ảnh Văn Quyến tôi nghĩ đến hình ảnh của anh Hồng Sơn . Hai người đều có những kỹ năng thiên bẩm và vô cùng kỹ thuật.
@bbbaaa4416,công phượng hít khói
@tonghopkenh5381,Thiên tài bán độ việt nam
@binhluong9423,Thiên tài đéo gì cái thằng phản bội tổ quốc
@datphantien4232,"huyện Hưng Nguyên - Nghệ An, chứ ko phải là Hưng Yên nhé!"
@oancao9820,Quyến là số một
@phamthuat4712,Thái Lan hủy hoại cuộc đời của văn quyến
@dungnguyen9108,Rõ ràng xét về kỹ năng chơi bóng Văn Quyến vẫn là số 1
@phucduyngo8435,Văn Con cặc  bán độ  mà  Thiên tài
@Minh-ff4gu,Tiếc quá! Văn Quyến mà biết cầu tiến như Công Vinh thì...
@ThangNguyen-up6ir,Phản quốc
@HBL-pr6nx,nếu anh không bán độ thì Công Vinh khó có lòng được chú ý đến
@Ngohaphuongcute5971,Ông bà nói đúng gần mực thì đen. Tiếc cho nhân tài .
@KhangNguyen-qs4yk,Thật đáng tiếc cho một tài năng
@vanviet1448,Thần đồng chuẩn
@Ndv37,Ngày ấy nhìn hình ảnh rồng vàng nó tự hào khí thế thật
@DungTran-ku2pv,Vừa nhanh vừa quyết đoán nếu  đi đúng hướng quyến đã là cầu thủ xuất sắc nhất châu Á rồi
@DungTran-ku2pv,Chi có thể là tiếc nuối và trách móc
@viethung9677,"VQ vẫn luôn là thần tượng, quá tiếc cho 1 tài năng.😑😑😑"
@lytrunghieu6777,"Bán đứng đất nước, điều này không  thể tha thứ được.Nên loại bỏ sớm để bóng đá Việt Nam trong sạch vững mạnh hơn."
@HaiTran-pw1pb,nói nhiều là tốt nhưng nói thiếu cũng là không tốt sau Quyến là ai vì lúc đó em Quyến mới có 19 tuổi
@songkhacvlog6219,Văn Quyến và cp10
@DuyNguyen-ox5uk,"Nhờ anh ấy mà tình yêu bóng đá VN trong tôi đã chết.  Tới tận bây h khi lứa u23 VN thành công vang dội nhưng tôi cũng ko tìm đc cảm giác hồ hởi,  háo hức khi xem VN thi đấu như lúc trước."
@minhtrungnguyen7319,"Nếu thời điểm này việt nam có một tiền đạo như văn quyến thì đừng nói là thái lan,ngay cả các đội bóng tây á việt nam ko ngán đội nào."
@tuannguyen-zy7ju,Đi bóng như maradona. Sút phạt như beckham. Và dứt điểm như batistuta. Quá đẳng cấp
@phomlo2960,Ko hiểu sao quyến lại bán độ
@ongang8116,"Thiên tai j ông blv noi quá,băng lam sao đc cp va qhai bây h"
@ongang8116,Giỏi j co ti tiên lai ăn chơi rươu che cv hay hơn
@thanhkhuong6308,Nếu quyến có tay cò mino raiola sẽ khác
@traitimcuaanh4812,một thần tượng bị lạc lối...
@toluca5152,Các video chỉ tầm 500k lượt xem trở lại còn Video này là lần đầu tiên đạt 1.5 triệu lượt xem chứng tỏ nhiều người quan tâm tới văn quyến tới vậy
@toluca5152,Cái nghèo và đồng tiền làm xa ngã 1 thiên tài. Ngày trước nước còn nghèo doanh nghiệp nghèo và ít bóng đá ko được quan tâm chứ được thưởng nhiều như bây giờ thì làm gì có chuyện bán độ
@chonhanhconkip425,số 10 của quến mới đúng còn cp10 hơn rộng thì phải
@buianknguyen8528,Nếu anh ko bán độ có thể anh đã vô địch AFF năm 2018 rồi
@handang4369,"Vẫn nhớ từng đường bóng của anh, tự tin vẽ các đường nét trên sân bóng trước mọi đối thủ mạnh, luôn tự tin không bị tâm lý trước mọi đối thủ nhất là Thái Lan, nhớ segame 22 Thái Lan đổ bê tông nhưng máy phá bê tông vẫn là Văn Quyến, Văn Quyến vẫn là đẳng cấp"
@hieno5864,Mọi người đừng nói đến loại bán nước
@lhn547,Tiếc cho thần đồng bóng đá Việt Nam Văn Quyến:((
@giang.phan79,thiên tài cc
@dautuBitcoin1,Ý kiến cá nhân.( Thà rằng thua vì trình độ kém còn hơn bán đi màu cờ sắc áo).
@tuyentrung2014,Xin các youtuber lần sau đừng làm video về mấy thằng đầu buồi cù ất cù ơ   nữa nhé
@VanPham-bh8en,Quyên sô 1
@soatvu5877,Thien tai dit gi cai thang Lon nay
@thucmai4920,công phượng khá giống văn quyến
@bahao1990,từ đó kiếp bán độ của duy mạnh nổi như cồn
@bahao1990,tài năng mà đạo đức kém thì tung hô làm cc gì từ đợt bán độ đấy bóng đá Việt Nam! tao có xem đâu đến thời par hang seo t mới xem
@haitranvan5902,phải thực sự mà nói Quyến vẫn ở đẳng cấp khác. tuy có lỗi lầm nhưng đối với cá nhân tôi thì chưa bao giờ tôi quay lưng với a. bóng đá VN vẫn thích nhất Quyến chỉ tiếc sau mãn hạn án treo thì a đã k còn là chính mình dù rằng thi thoảng vẫn xuất hiện những pha sử lý bóng đẳng cấp 1 thời
@namviet621,Lai vi văn cua tac gia quạ hay.
@ngoctramlethi2030,-Uỗng cho một con người đầy tài năng ....
@kakahoang5778,Tiêc cho van quyên chi vi môt phut  lông nôi
@QuangNguyen-gs2tz,Nói đi cũng phải nói lại đến bây giờ cũng chưa có một văn quyến thứ hai
@dacminh9855,"<a href=""https://www.youtube.com/watch?v=5LxjFoypQo4&amp;t=819"">13:39</a> 3 người 3 thế hệ của tuyển Việt Nam"
@damthianh644,thằng Công Vinh đá có hay lắm đâU mà tao thấy ai cũng nói huyền thoại với chả thần đồng.  Cv đá như nghiệp dư mà làm màu quá
@NaAnh1995,Tài năng của Quyến là điều ko ai có thể phủ nhận. Nhưng mình ko thích cái kiểu hoài niệm &quot;nếu ngày ấy Quyến ko.... &quot; của nhiều người. đời ko có chữ nếu. Sự việc ngày ấy là điều cần thiết phải xảy ra để giúp cảnh tỉnh ko chỉ Quyến mà còn thế hệ cầu thủ sau này nữa
@vnbet8004,"<a href=""http://www.youtube.com/results?search_query=%23k8"">#K8</a> nhà cái đẳng cấp châu Á - top đầu Việt Nam trong thị trường cá cược. Tham gia ngay nhận khuyến mãi hấp dẫn."
@thuongphamkieu7051,Văn Quyến kg gặp thời nếu gặp ông pắ sớm nổi như cồn
@HoaNguyen-bn3ue,"Ko phải mô,cái 3 rem của sao viết la ko bao giở nổi đến tháng thứ 4. Nhiều lắm chi đk 3 tháng,a Hải củng bắt đâu nối gót đàn a,a Hấu an cơm tây răng mà về cày sân ta đk hè.Hết ak."
@ncsmusicvietnam8634,Đáng trách nhưng phải công nhận Văn Quyến là tiền đạo số 1 Việt Nam.
@trungkieubinh9593,Thien tai c gi thang ban đứng tổ quốc
@vnvn8766,"Thử hỏi lúc trước ban lãnh đạo và người cấp cao đã làm tốt nhiệm vụ chưa? Cầu thủ lúc thời văn quyến giỏi nhưng rất nghèo khó , một phần cũng do lãnh đạo cấp cao đã ko làm tốt"
@kowen1tinhyeu589,"Thiên tài thì kinh khủng quá, theo mình là Thần Đồng lạc lối hơn ."
@kacelavendel8034,Ca ngợi gì thằng cha này. Bán độ ăn tiền
@hieptrinh63,"Văn quyến mới là một tài năng lớn nhất một  tiền  đạo hay nhất  mà bóng  đá VN  từng  sản  sinh,ko nói đến  sai lầm thì thật  sự ko biết  đến  bao giờ  VN  mới có một cầu thủ  như VQ, ngay cả  thời điểm  hiện  tại CP cung ko thể so sánh với VQ dược"
@lanhoang2640,Phai noi van quyen .co loi da rat dong .da vic bach kham
@loipham6929,chỉ một sai lầm .mà đánh mất một thiên tài.buồn
@la1conmeo,Trung quy là do cha của văn quyến ok
@thuylaivan145,20 triẹu  chỉ bằng văn Hậu bỏ tiền mua điếu thuôc  . Thế mà lại cầm  .thât là ngu xuẩn hết mức khi bán tất tay và trái tim mình
@HoaPham-mu9xw,Toàn hão huyền làm gì văn quyến là thần đồng bóng đá
@Quangha357,"Thằng chó văn quyến , thằng bán độ nên sử bắn nó đi lại còn xưng hô nó làm gì ."
@CuongNguyen-zg1tt,Mãi yêu a quyến
@thezoo1791,Thời van quyến và thời hữu thắng làm huấn lv làm rớt tim . Ức vãi
@minhuctran9981,"Công nhận VQ hay thật, nhưng nếu nói Quang Hải và Văn Hậu k bằng VQ thì tôi không đồng ta. Thứ nhất vị trí thi đấu khác nhau. Thứ 2 : bóng đá thời điểm đó nó khác, bây giờ nó khác, từ tư duy chiến thuật cho tới kỹ năng thi đấu. Thời điểm đó có bg dám mơ oánh tay đôi với Thái không, có bg nghĩ tới chiến thắng khi gặp Tây Á không. Đừng so sánh kiểu vậy, các em nó buồn. Nói thẳng kể cả Hồng Sơn hay Huỳnh Đức cũng chưa thể bằng lứa bây giờ,  vì các em được đào tạo bài bản khoa học hơn, tập luyện ăn uống khoa học hơn, thành công hiện tại của thế hệ trẻ bg đó là lời khẳng định chỗ đứng của các em."
@tienho3389,"Có cl gì ở cái thằng bán độ mà nói mải vậy. Dm mày tụi mày, ko ghét mà nhắc mải tao mới ghét"
@hoile4382,Đố Bạn ...Đố Bạn 🔫
@tantruong6175,Từ khi văn quyến  kô đá bóng mình không xem đến 2018 mình mới xem
@hungnguyenmanh2160,"Buồn quá,khi nghĩ đến Quyến"
@khanhafk4460,Thà rằng bán kiếm đc vài chục tỷ còn hiểu đc... Chứ sao lại my chục triệu vậy trời. Méo đáng xíu nào ...
@ngaitho1023,Sao k cho đi lại nhỉ. sai đi từ rồi mà.
@H2Tvlog,Công vinh là ai vậy
@AnhNguyen-bo2gl,"Anh và đồng đội có sự thiên tài trời phú, nhưng lại ko có lòng tự trọng. Chúng tôi k có thần đồng, nhưng có lòng yêu nước và quyết tâm và kỷ luật. À mà chúng tôi có cúp AFF và HCV Sea games nữa :))"
@woflmanhy,"Seagame 22 Hà Nội mình 16t lần đầu tiên thấy yêu đất nước mình thế. Lần đầu tiên thấy đổi tuyển mình lại mạnh đến thế. Lần đầu tiên thấy Thái Lan cũng chỉ đến thế mà thôi, cũng có thể hòa và hơn hết là có cửa thắng và lần đầu tiên thấy hụt hẫng, thất vọng đến thế. Cám ơn anh đã manh lại cho em những cảm xúc ấy."
@woflmanhy,Liệu các fan nhí bây giờ có ai còn nhớ đến anh. Được chứng kiến anh chơi bóng là niềm tự hào của em.
@saythienthu6605,"Quyễn xuất phạt hay hơn QH, rê bóng mềm mại, tốc độ hiệu quả hơn CP, dứt điểm toàn diện hơn CV. Cách Q dẫn bóng khéo léo, mềm dẻo, tốc độ giống ronaldo béo. Thật đáng tiếc"
@andinh8788,Phải nói thật chưa tiền đạo nào solo qua duoc văn quyến
@haongo9075,Đúng là lạc lối
@vinhle8176,Có mà đồng đất ấy..thời nó có bao giờ thắng đc thái lan đâu..nó mắc bệnh sao..giờ đầy thần đồng lò nào chẳng có..xóm tao cũng có mấy thằng.
@vuongpham-lt3xd,huyện hưng nguyên ad ơi
@layloitv1261,Tại thằng chó quốc vượng
@dieuhaumat1057,Hiện tại giờ cứ chiều chiều. Toàn thấy a đá vui với mấy a ở sân nhân tạo. Cạnh nhà văn hoá tỉnh. <br>Nghĩ cũng buồn cho một tài năng
@thanhluan6094,Nói chung là hay nhưng ko ra gì
@hungquyhop9404,Thời sinh viên đi đến phòng trọ nào cũng có ảnh văn quyên dán lên tường. Thần tượng một thời
@NamNam-qf4fv,"Ờ đúng rồi, Công Phượng và Quang Hải thua xa Văn quyến về điểm bán độ và ở tù, Văn Quyến đại diện cho nỗi nhục nhã của các vận động viên. Admin mày nên gọi Văn quyến là Thần bán độ thì đúng hơn"
@anhtunguyen3843,"bàn thắng trước hàn quốc nói lên đẳng cấp của 1 thiên tài trăm năm hiếm gặp, giữ bóng khéo léo khả năng ghi bàn dễ dàng bản năng sát thủ. không biết đến khi nào mới có 1 cầu thủ ghê gớm như vậy, quá đáng tiếc cho a!"
@BaoLe-pk2ii,"Năm 2002 vòng bản việt nam giặp thái lan ahn gi một siêu phẩm .vòng chung kết giập lạj tháj lan ahn gi một pha vôlê đập đất vào lướj cosin ..tôj vẩn còn nhớ như jn ..sao bàn thắng đó ..hàng trăm ngườj wê nhà của tôJ sem từng bước chạy của ahn họ trầm trồ ngưởng mộ tàj năng thiên phú chơj bỏng của ahn .có nhửng cụ già họ nój ..trong độj hình của tuyển việt nam có quyến thì phảj có siêu phẩm . ngày Ahn nhúng tràm Ahn đả lấy đi khong biết nhiêu sự tiếc nuốj cho nguờj hâm mộ nước nhà.. Tiếc cho cáj chân phảj rất ngoan rất khó lường của ahn khj ngàj ahn chở lạj ,,"
@khanhhong2198,"Biết tin VQ bán độ bỏ xem luôn bóng đá VN tới u23 mới xem lại, giải trẻ mình vẫn xem !"
@tronglengoc2148,"còn nhớ một mình đối mặt với thủ môn chỉ có vào, chứ câu thủ sau này toàn đá vào thủ môn, hoặc bay ra ngoài"
@thieutruongvan3317,Tốc độ đi bóng.sự.lắt léo và tinh quái tôi thực sự thật tiếc
@khanhvan8982,văn quyen la 1 &quot;vêt zơ&quot; cho bong da viêt nam
@myhuyen3147,"Văn Quyến là kẻ bỏ đi<br>Nghèo mà lại còn hèn, để đồng tiền che mắt"
@anhhailom9854,Các ông có để ý Văn Quyến đã rất xuất sắc cho đến khi .... làm mn thất vọng mang áo số 10 dân nghệ an. Và điều đặc biệt ở đây thời điểm hiện tại Công phượng số 10 nghệ an đã từng mn yêu mến kêu hò ấy đâu rồi. Bây giờ thì sao? A ấy vấp ngã mắc chút sai lầm thì mn như muốn đạp đổ k chừa lối thoát nào cho a ấy cả vì thời gian sẽ trả lời tất cả sự nổ lực của CP sẽ chứng minh cho mn thấy họ k thất bại ở khả năng chỉ thất bại ở lối chơi mà thôi. Khi bạn vinh quang chẳng sao  đến lúc bạn sai lầm sẽ có biết bao con dao đang chờ sẵn đâm sau lưng bạn. Đúng là tài năng còn phụ thuộc vào &quot;may mắn&quot; của khán giả :)))
@giango4172,Rồng vàng là lồn gì
@japantravelbui9678,O
@cuongquyetnguyen8917,"Rất thích Anh Quân nhưng xem chừng video này mang nhiều nhận định chủ quan . Lý do gì có thể nói Quang Hải , Văn Hậu ko tài năng bằng Văn Quyến ? . Quang Hải giành QBV và mọi danh hiệu cao quý cấp độ ĐT và các lứa U từ trước đến giờ . Văn Hậu mới 20t đã có HCV Seagames và AFF Cup - điều mà cả đời Văn Quyến ko vướn tới được . Văn Quyến tài năng ko ai phủ nhận nhưng để đừng đánh giá quá cao. Hãy nhìn lại để thấy VQ làm đc những gì cho ĐT . Ko quá nhiều đâu , Quyến ghi đc những bàn thắng quan trọng ở vòng bảng Seagames , Tiger Cup ( AFF Cup bây giờ) những đứng trc những đối thủ khó nhằn thì tan náy như thường . Ngoài Thái Lan thì ở giải vòng loại châu Á Quyến chẳng làm đc gì trc Iran , Irac , UAE cả . Và giờ hãy xem QH làm đc gì trc những đối thủ đc coi là ông kẹ của châu Á . Ghi bàn vào lưới Nhật Bản , Hàn Quốc , Uzbekistan, Qatar , gần như là đủ cả . Trong khi 1 bàn Quyến ghi vào lưới Hàn Quốc trong cục diện mà Hàn Quốc đã chắc suất bà chỉ tung đội hình 2 và Quyến đc thổi lên mây xanh . Hãy thôi tư tưởng con cá mất là con cá to ! . Nta hay nói Thái độ hơn trình độ . Xét cả 2 khía cạnh thì Quyến ko đủ tầm so với lứa cầu thủ bây h chứ chưa nói QH . Quyến mắc bệnh ngôi sao , có tý thành công là ăn chơi trác táng , bỏ tập và bị loại khỏi tuyển , nên việc bán độ có thể coi là tất yếu , ko có gì bất ngờ với lối sống như vậy . Việt Nam đang có 1 lứa cầu thủ tài năng và “ngoan “ trên mọi phương diện . Hơn nữa , như BLV Quang Huy từng nói “ Quang Hải mới là tài năng trăm năm có 1 của BĐVN” . Mong Anh Quân và mọi người nhìn nhận 1 cách công tâm hơn . Thân ái!!!"
@Childrensmusic2024-i5s,"sau thời văn quyến bán độ, t hoàn toàn ko còn cảm xúc với bóng đá VN nữa,"
@chinhnguyen-iq9lq,Sai lầm thì ai cũng có . Chỉ tội cho văn quyến . Mai là thần tượng
@ToanTran-sm4ig,3/1/2020 van nho ve thang ban
@sonvu4578,Súc sinh bán độ
@tule6004,Tuy bán độ nhưng vẫn thích văn quyến thoi
@tungtran-xi5cq,Hưng nguyên nhé chú
@aiduongvo3467,"Dù sao vẫn là ngôi sao đáng nể, , cả nước cả tỉnh  đều nuối tiéc"
@riri8398,Văn Quyến giống BecKham :))
@kiemle8014,Thằng bán độ ko đáng nhắc đến
@SonTran-fj8vf,Sai lầm quyến bán đô.k thi viet nam k co ai bằng quyến cả
@tieubaovi4466,Da hay thi chung no tung ho con say chan thi no dim cho bang chet dung la mot bon nao cho
@tieubaovi4466,Tay san ban so 1 viet nam cho toi bay gio
@tieubaovi4466,Bon lanh dao viet nam con tham nhung noi gi den van quyen
@khanhvu9279,LĐ nên cho các cầu thủ trẻ xem video này mà làm bài học.
@nhinhi1120,Tiếc cho một thiên tài bóg đá Việt có tài mà k có đức 😢
@thangnguyenquang1055,Quá đáng tiếc cho 1 tài năng bóng đá Việt . Thời đó mà a được đào tạo bài bản như ngày nay thì đã lên tầm huyền thoại
@hoangducnga6068,Công bằng mà nói tính đến nay vẫn chưa có ai qua dc tài năng của VQ nhưng......
@hoangducnga6068,Sai lầm của tuổi trẻ pha tan cả sự nghiệp
@Hoa-Chau92,văn quyến chính là tiền đạo giỏi nhất mà đất nước hình chữ S sản sinh
@NamNguyen-lg9gi,cái thơi mà bọn sâu bọ tụi nó ăn sạch tiền của cầu thủ.đá sml mà vẫn chẳng thấy tiền đâu.giờ thì cầu thủ ngon hơn rất nhiều rồi.lương thưởng đã rõ ràng.nhà cửa xe cộ còn thiếu gì đâu mà phải bán độ nữa
@dienlanhvt,cơ chế đưa đẩy. khiến bóng đá ngụp lặn. làm kinh doanh đâu chỉ cần có danh hiệu
@huongo2797,VQ Có tài mà k có đức.
@tantranngoc5081,Bóng đá vn đen tối cho tới khi thầy pak đến...cảm ơn ông đã mang con ng vn quay trở lại vs bóng đá nước nhà
@tokhanh9239,Tiếc vẫn tiếc . níu ko có vụ bán độ đó thì vn cũng ko cần chờ 10 năm để có aff rồi.
@longbui4937,"rất tiếc 1 thiên tài bán nước , nhưng thật ngớ ngẩn là tội này lại có 2 năm án treo thôi sao ? à quên nó là người có tài với lại lúc đó nó có tiền nữa chạy chọt được mà ! liệu sau này có 1 cầu thủ nào lại bán độ ko điều này chẳng ai giám chắc vì nếu bán  lọt thì sẽ đc 1 khoản tiền lớn còn ko lọt thì có 2 năm án treo chứ mấy , theo ý kiến cá nhân tôi bọn này phải tử hình mới làm gương cho thế hệ bóng Việt Nam sau này"
@haphanquoc1131,Để nói chắc messi xách zep
@haphanquoc1131,Van quyen là số 1 moi thoi dai
@richardtran6818,"chạnh lòng cho những anh hùng dân tộc mang vinh quang về cho tổ quốc nhưng vẫn không bằng 1 thằng phản bội tổ quốc và người ta đang tiếc cho kẻ đó :) ... mãi mãi không vượt qua ... không bằng ... cho đến bao giờ mới thôi những bài blog, những video so sánh kiểu như vậy nhỉ . PVQ nói với con:&quot; đấy bố mày bán độ nhưng thiên hạ vẫn tiếc và bảo bố mày là số 1 nhé con&quot; :))"
@CongNguyen-ni4vg,có thành tích gì đâu mà gọi thần đồng còn lâu đã bằng quang hải....
@trungquang3199,Lứa này ko chỉ có văn Quyến mà còn nhiều tài năng khác cũng dính tràm vd như Hv như thành nữa thêm 1 ng nữa cũng đáng tiếc là tiền vệ Hữu Thắng từng đc 1 clb giải nhà nghề mỹ mời thử việc 1 trong những tv tài năng và toàn diện nhất mà bóng đá vn từng có nhưng chấn thương đã khiến sự nghiệp của a bị chững lại
@ngockhoanguyen710,Những kẻ ấy k đáng để nhắc tên
@Tranxuan88,Nếu anh chăm chỉ và ko đi sai nước cờ chắc giờ anh đã quá êm
@phuchuynh5890,Tiếc gì cái tên bán độ chứ.
@HienTran-ir7fz,Nguoi ta goi la chua lan but da lan buoi.
@BcTV128,Nếu không bán độ có lẽ ng dân việt nam k phải chở 60 năm mới vô đich seagame
@nhatshady91,"Quyến đã từng là thiên thần của tuyển vn, nhưng là 1 thiên thần sa ngã..."
@khoinguyenxuan5649,CHÚ NÀY LÀ THIÊN TAI CỦA NƯỚC NHÀ CHỨ THIÊN TÀI GÌ  ???
@minhnhango1735,Thời đó nếu bóng đá được quan tâm và kinh tế như bây giờ thì có lẽ😥😥
@quocnguyen7301,Tôi thấy chưa có 1 tiền đạo của Việt Nam nào  bén như anh ấy
@satran4381,Không biết xem bóng. Thích nhất là lứa cầu thủ của HAGL như lứa công phượng Tuấn anh văn Toàn văn Thanh cho đến nay thích lắm lứa cầu thủ vàng hiện tại của VN
@quangchinhnguyen7260,"Không bán độ, thế hệ bóng đá hiện nay gặt hái những thành công mà thời các &quot;thần đồng&quot; có nằm mơ cũng không dám. Cần gì đến &quot;thần đồng&quot;."
@DuongNguyen-uc6wv,Mình đã được xem trận đấu của anh ấy đá và cũng được chứng kiến quả vô Lê đó luôn và cũng từ vụ bán độ đó mình bỏ ko xem cho đến u23 mới xem thực sự những ai đã từng xem anh ấy đá thì chắc chắn sẽ có cảm giác giống nhau đều tiếc cho một thần đồng của bóng đá vn từng sản sinh ra
@xuancuongo9670,"well, vẫn chưa hiểu được vì sao Văn Quyến có thể hay hơn Quang Hải được. Những bàn thắng của Quang Hải đều ghi vào lưới những đối thủ mạnh hơn và ở các giải quan lớn hơn rất nhiều. Nhưng thật sự anh vẫn hay hơn rất nhiều tiền đạo như văn toàn, công phượng"
@diemtranthi1831,Lúc đó mình rất hâm mộ a van quyến lắm .nhung sao này nge quyến bán đo cảm thấy buồn . Thấy buồn cho quyến thôi .
@OMANIPAMEHUM,Nghe tên ko muốn xem
@duocxuan3530,tại sao cái đồ bỏ đi ấy mày vẫn cứ tâng bốc lên làm gì ? thử hỏi VQ đã làm được gì cho NHM hay chỉ là kẻ bôi nhọ vào màu cờ sắc áo của thể thao nước nhà ? có đáng để cho mọi người ngưỡng mộ ? nói không sợ lở mồm à ?
@hoanglong4577,Có tài nhưng không có đức thì vứt đi
@hoaitam9904,Em chào anh. Chúc anh giáng sinh vui vẻ. Ngày càng có nhiều bài hay hơn ạ. Em muốn hỏi anh một câu. Theo anh việt nam mình từ lứa u15 đếm đội tuyển có ai tiệm cận với văn quyến nữa không ạ. Em cảm giác việt nam bây giờ đang trong trạng thái thiếu tiền đạo có tính sát thương và xoay sở tốt
@haithanh1826,Quyến quá đẳng cấp
@muoiang7345,Thằng bán nc mà tự hào sao đã vô học còn vô văn hóa ít học củng tuổi thân nhưng vô ý thức dống giòng máu Trung Quốc Thằng chó nầy tôt lành gì
